measure	row	version	bold_header	indent_header	redcap	worksheet	column
Symbol Search	87	2	Wechsler Adult Intelligence Scale-III	Processing Speed Index	NA	NA	NA
MEMORY & LEARNING	89	2	MEMORY & LEARNING	MEMORY & LEARNING	NA	NA	NA
Wechsler Memory Scale-IV	91	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Auditory Memory Index	92	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Logical Memory I	93	2	Wechsler Memory Scale-IV	Auditory Memory Index	LMI_raw	Template	3
Logical Memory I	93	2	Wechsler Memory Scale-IV	Auditory Memory Index	LMI_ss	Template	4
Logical Memory II	94	2	Wechsler Memory Scale-IV	Auditory Memory Index	LMII_raw	Template	3
Logical Memory II	94	2	Wechsler Memory Scale-IV	Auditory Memory Index	LMII_ss	Template	4
LM Recognition	95	2	Wechsler Memory Scale-IV	Auditory Memory Index	LMrec_raw	Template	3
LM Recognition	95	2	Wechsler Memory Scale-IV	Auditory Memory Index	LMrec_per	Template	4
Verbal Paired Associates I	96	2	Wechsler Memory Scale-IV	Auditory Memory Index	VPAI_raw	Template	3
Verbal Paired Associates I	96	2	Wechsler Memory Scale-IV	Auditory Memory Index	VPAI_ss	Template	4
Verbal Paired Associates II	97	2	Wechsler Memory Scale-IV	Auditory Memory Index	VPAII_raw	Template	3
Verbal Paired Associates II	97	2	Wechsler Memory Scale-IV	Auditory Memory Index	VPAII_ss	Template	4
VPA Recognition	98	2	Wechsler Memory Scale-IV	Auditory Memory Index	VPArec_raw	Template	3
VPA Recognition	98	2	Wechsler Memory Scale-IV	Auditory Memory Index	VPArec_perc	Template	4
Visual Memory Index	99	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Visual Reproduction I	100	2	Wechsler Memory Scale-IV	Visual Memory Index	VRI_raw	Template	3
Visual Reproduction I	100	2	Wechsler Memory Scale-IV	Visual Memory Index	VRI_ss	Template	4
Visual Reproduction II	101	2	Wechsler Memory Scale-IV	Visual Memory Index	VRII_raw	Template	3
Visual Reproduction II	101	2	Wechsler Memory Scale-IV	Visual Memory Index	VRII_ss	Template	4
VR Recognition	102	2	Wechsler Memory Scale-IV	Visual Memory Index	VRrec_raw	Template	3
VR Recognition	102	2	Wechsler Memory Scale-IV	Visual Memory Index	VRrec_per	Template	4
Designs I	103	2	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Designs II	104	2	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Designs Recognition	105	2	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Visual Working Memory Index	106	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Symbol Span	107	2	Wechsler Memory Scale-IV	Visual Working Memory Index	NA	NA	NA
Spatial Addition	108	2	Wechsler Memory Scale-IV	Visual Working Memory Index	NA	NA	NA
Immediate Memory Index	109	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Delayed Memory Index	110	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Wechsler Memory Scale-III	111	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Immediate Memory Index	112	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Immediate	113	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Immediate	114	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
General Memory Index	115	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Delayed	116	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Delayed	117	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Recognition Delayed	118	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Working Memory Index	119	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Memory	120	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Logical Memory I	121	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory II	122	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory % Retention	123	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory Recognition	124	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Thematic I	125	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Thematic II	126	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Verbal Paired Associates I	127	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Verbal Paired Associates II	128	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
VPA Recognition	129	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
VPA % Retention	130	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists I	131	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists II	132	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists Recognition	133	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists % Retention	134	2	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Visual Memory	135	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Reproduction I	136	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction II	137	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction % Retention	138	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction Recognition	139	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction Copy	140	2	Wechsler Memory Scale-III	Visual Memory	VRcopy_raw	Template	3
Visual Reproduction Copy	140	2	Wechsler Memory Scale-III	Visual Memory	VRcopy_perc	Template	4
Faces I	141	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces II	142	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces Recognition	143	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces % Retention	144	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures I	145	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures II	146	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures Recognition	147	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures % Retention	148	2	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Working Memory	149	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Spatial Span	150	2	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
L-N Sequencing	151	2	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
Digit Span	152	2	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
Mental Control	153	2	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
Rey-Auditory Verbal Learning Task	154	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Sum of Trials 1-5	155	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Immediate Recall	156	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Delayed Recall	157	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Recognition	158	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Selective Reminding Test	159	2	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Long Term Storage	160	2	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Consistent Long Term Retrieval	161	2	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Delayed Recall	162	2	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Recognition	163	2	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
California Verbal Learning Task-II	164	2	California Verbal Learning Task-II	California Verbal Learning Task-II	NA	NA	NA
Total Recall	165	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_tot_raw	Template	3
Total Recall	165	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_tot_ss	Template	4
Short Delay Free Recall	166	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelayfree_raw	Template	3
Short Delay Free Recall	166	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelayfree_ss	Template	4
Short Delay Cued Recall	167	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelaycued_raw	Template	3
Short Delay Cued Recall	167	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelaycued_ss	Template	4
Long Delay Free Recall	168	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelayfree_raw	Template	3
Long Delay Free Recall	168	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelayfree_ss	Template	4
Long Delay Cued Recall	169	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelaycued_raw	Template	3
Long Delay Cued Recall	169	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelaycued_ss	Template	4
Recognition Discriminability	170	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_recogdisc_raw	Template	3
Recognition Discriminability	170	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_recogdisc_ss	Template	4
Forced Choice Recognition	171	2	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_fcrecog_perc	Template	3
Hopkins Verbal Learning Task-R	172	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	NA	NA	NA
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_raw	Template	3
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_ss	Template	4
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_per	Template	5
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_int	Template	6
Delayed Recall	174	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_delay_raw	Template	3
Delayed Recall	174	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_delay_ss	Template	4
Percent Retention	175	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_perc_raw	Template	3
Percent Retention	175	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_perc_ss	Template	4
Discrimination Index	176	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_disc_raw	Template	3
Discrimination Index	176	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_disc_ss	Template	4
Brief Visuospatial Memory Test-R	177	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	NA	NA	NA
Total Recall	178	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_tot_raw	Template	3
Total Recall	178	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_tot_ss	Template	4
Delayed Recall	179	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_delay_raw	Template	3
Delayed Recall	179	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_delay_ss	Template	4
Discrimination Index	180	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	NA	NA	NA
7/24 Spatial Recall Test	181	2	7/24 Spatial Recall Test	7/24 Spatial Recall Test	NA	NA	NA
Immediate Recall	182	2	7/24 Spatial Recall Test	7/24 Spatial Recall Test	NA	NA	NA
Delayed Recall	183	2	7/24 Spatial Recall Test	7/24 Spatial Recall Test	NA	NA	NA
Rey-O Complex Figure Test	184	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Immediate Recall	185	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Delayed Recall	186	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Recognition	187	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Rush Object Recall Test	188	2	Rush Object Recall Test	Rush Object Recall Test	NA	NA	NA
Immediate Recall	189	2	Rush Object Recall Test	Rush Object Recall Test	NA	NA	NA
Recognition	190	2	Rush Object Recall Test	Rush Object Recall Test	NA	NA	NA
TOMM	191	2	TOMM	TOMM	NA	NA	NA
Trial 1	192	2	TOMM	TOMM	NA	NA	NA
Trial 2	193	2	TOMM	TOMM	NA	NA	NA
Trial 3	194	2	TOMM	TOMM	NA	NA	NA
Rey-15 Item	195	2	Rey-15 Item	Rey-15 Item	NA	NA	NA
Immediate Recall	196	2	Rey-15 Item	Rey-15 Item	NA	NA	NA
Recognition	197	2	Rey-15 Item	Rey-15 Item	NA	NA	NA
Word Memory Test	198	2	Word Memory Test	Word Memory Test	NA	NA	NA
Immediate Recognition	199	2	Word Memory Test	Word Memory Test	NA	NA	NA
Delayed Recognition	200	2	Word Memory Test	Word Memory Test	NA	NA	NA
Consistency	201	2	Word Memory Test	Word Memory Test	NA	NA	NA
Multiple Choice Recognition	202	2	Word Memory Test	Word Memory Test	NA	NA	NA
Paired Associates	203	2	Word Memory Test	Word Memory Test	NA	NA	NA
Short-Delay Free Recall	204	2	Word Memory Test	Word Memory Test	NA	NA	NA
Long-Delay Free Recall	205	2	Word Memory Test	Word Memory Test	NA	NA	NA
LANGUAGE	208	2	LANGUAGE	LANGUAGE	NA	NA	NA
Boston Diagnostic Aphasia Exam-3	210	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	NA	NA	NA
Boston Naming Test	211	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bnt_raw	Template	3
Boston Naming Test	211	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bnt_ss	Template	4
Complex Ideational Material	212	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bdae_CIM_raw	Template	3
Complex Ideational Material	212	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bdae_CIM_ss	Template	4
Commands	213	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	NA	NA	NA
Repeating Phrases	214	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bdae_RS_raw	Template	3
Repeating Phrases	214	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bdae_RN_raw	Template	4
Picture Description: Cookie Theft	215	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bdae_CT_raw	Template	3
Picture Description: Cookie Theft	215	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	bdae_SP_raw	Template	4
Multi-Lingual Aphasia Exam-3	216	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	NA	NA	NA
Tokens	217	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	NA	NA	NA
Sentence Repetition	218	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	NA	NA	NA
Visual Naming	219	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	NA	NA	NA
Right-Left Orientation	220	2	Right-Left Orientation	Right-Left Orientation	NA	NA	NA
Peabody Picture Vocabulary Test-4	221	2	Peabody Picture Vocabulary Test-4	Peabody Picture Vocabulary Test-4	NA	NA	NA
ACADEMIC ACHIEVEMENT	223	2	ACADEMIC ACHIEVEMENT	ACADEMIC ACHIEVEMENT	NA	NA	NA
Wide Range Achievement Tests-4	225	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	NA	NA	NA
Word Reading	226	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	wratread_raw	Template	3
Word Reading	226	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	wratread_ss	Template	4
Spelling	227	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	NA	NA	NA
Math Computation	228	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	NA	NA	NA
Sentence Comprehension	229	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	NA	NA	NA
WJ-III Tests of Achievement	230	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Academic Skills	231	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Academic Applications	232	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Academic Fluency	233	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Broad Reading	234	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Letter-Word Identification	235	2	WJ-III Tests of Achievement	Broad Reading	NA	NA	NA
Reading Fluency	236	2	WJ-III Tests of Achievement	Broad Reading	NA	NA	NA
Passage Comprehension	237	2	WJ-III Tests of Achievement	Broad Reading	NA	NA	NA
Broad Written Language	238	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Spelling	239	2	WJ-III Tests of Achievement	Broad Written Language	NA	NA	NA
Writing Fluency	240	2	WJ-III Tests of Achievement	Broad Written Language	NA	NA	NA
Writing Samples	241	2	WJ-III Tests of Achievement	Broad Written Language	NA	NA	NA
Broad Math	242	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Calculation	243	2	WJ-III Tests of Achievement	Broad Math	NA	NA	NA
Math Fluency	244	2	WJ-III Tests of Achievement	Broad Math	NA	NA	NA
Applied Problems	245	2	WJ-III Tests of Achievement	Broad Math	NA	NA	NA
Basic Reading Skills	246	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	NA	NA	NA
Word Attack	247	2	WJ-III Tests of Achievement	Basic Reading Skills	WJIII_WA_raw	Template	3
Word Attack	247	2	WJ-III Tests of Achievement	Basic Reading Skills	WJIII_WA_ss	Template	4
Nelson-Denny Reading	248	2	Nelson-Denny Reading	Nelson-Denny Reading	NA	NA	NA
Comprehension	249	2	Nelson-Denny Reading	Nelson-Denny Reading	NA	NA	NA
Reading Rate	250	2	Nelson-Denny Reading	Nelson-Denny Reading	NA	NA	NA
Gray's Oral Reading Tests-4	251	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	NA	NA	NA
Rate Score	252	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	NA	NA	NA
Accuracy Score	253	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	NA	NA	NA
Fluency Score	254	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	NA	NA	NA
Comprehension Score	255	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	NA	NA	NA
VISUAL-SPATIAL	257	2	VISUAL-SPATIAL	VISUAL-SPATIAL	NA	NA	NA
Judgment of Line Orientation	259	2	Judgment of Line Orientation	Judgment of Line Orientation	JLO_raw	Template	3
Judgment of Line Orientation	259	2	Judgment of Line Orientation	Judgment of Line Orientation	JLO_ss	Template	4
Benton's Facial Recognition	260	2	Benton's Facial Recognition	Benton's Facial Recognition	NA	NA	NA
