measure	row	version	bold_header	indent_header	worksheet	redcap	column
Similarities	49	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	sim_ss	4
Vocabulary	50	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	voc_raw	3
Vocabulary	50	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	voc_ss	4
Information	51	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	in_raw	3
Information	51	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	in_ss	4
Comprehension	52	2	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	Template	NA	NA
Perceptual Reasoning Index	53	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	Template	pri	4
Block Design	54	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	bd_raw	3
Block Design	54	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	bd_ss	4
Matrix Reasoning	55	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	mr_raw	3
Matrix Reasoning	55	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	mr_ss	4
Visual Puzzles	56	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	vp_raw	3
Visual Puzzles	56	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	vp_ss	4
Picture Completion	57	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	dsp_raw	3
Picture Completion	57	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	dsp_ss	4
Figure Weights	58	2	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	Template	NA	NA
Working Memory Index	59	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	Template	wmi	4
Digit Span	60	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	Template	NA	NA
Arithmetic	61	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	Template	ar_raw	3
Arithmetic	61	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	Template	ar_ss	4
L-N Sequencing	62	2	Wechsler Adult Intelligence Scale-IV	Working Memory Index	Template	NA	NA
Processing Speed Index	63	2	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	Template	psi	4
Symbol Search	64	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	Template	ss_raw	3
Symbol Search	64	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	Template	ss_ss	4
Coding	65	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	Template	cd_raw	3
Coding	65	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	Template	cd_ss	4
Cancellation	66	2	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	Template	NA	NA
Wechsler Adult Intelligence Scale-III	67	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Verbal IQ	68	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Performance IQ	69	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Full Scale IQ	70	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Verbal Comprehension Index	71	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Vocabulary	72	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	Template	NA	NA
Similarities	73	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	Template	NA	NA
Information	74	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	Template	NA	NA
Comprehension	75	2	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	Template	NA	NA
Perceptual Organization Index	76	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Picture Completion	77	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	Template	NA	NA
Block Design	78	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	Template	NA	NA
Matrix Reasoning	79	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	Template	NA	NA
Picture Arrangement	80	2	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	Template	NA	NA
Working Memory Index	81	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Arithmetic	82	2	Wechsler Adult Intelligence Scale-III	Working Memory Index	Template	NA	NA
Digit Span	83	2	Wechsler Adult Intelligence Scale-III	Working Memory Index	Template	NA	NA
L-N Sequencing	84	2	Wechsler Adult Intelligence Scale-III	Working Memory Index	Template	NA	NA
Processing Speed Index	85	2	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	Template	NA	NA
Digit Symbol-Coding	86	2	Wechsler Adult Intelligence Scale-III	Processing Speed Index	Template	NA	NA
Symbol Search	87	2	Wechsler Adult Intelligence Scale-III	Processing Speed Index	Template	NA	NA
MEMORY & LEARNING	89	2	MEMORY & LEARNING	MEMORY & LEARNING	Template	NA	NA
Wechsler Memory Scale-IV	91	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	Template	NA	NA
Auditory Memory Index	92	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	Template	NA	NA
Logical Memory I	93	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	lmi_raw	3
Logical Memory I	93	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	lmi_ss	4
Logical Memory II	94	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	lmii_raw	3
Logical Memory II	94	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	lmii_ss	4
LM Recognition	95	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	lmrec_per	4
LM Recognition	95	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	lmrec_raw	3
Verbal Paired Associates I	96	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	vpai_raw	3
Verbal Paired Associates I	96	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	vpai_ss	4
Verbal Paired Associates II	97	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	vpaii_raw	3
Verbal Paired Associates II	97	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	vpaii_ss	4
VPA Recognition	98	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	vparec_perc	4
VPA Recognition	98	2	Wechsler Memory Scale-IV	Auditory Memory Index	Template	vparec_raw	3
Visual Memory Index	99	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	Template	NA	NA
Visual Reproduction I	100	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	vri_raw	3
Visual Reproduction I	100	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	vri_ss	4
Visual Reproduction II	101	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	vrii_raw	3
Visual Reproduction II	101	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	vrii_ss	4
VR Recognition	102	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	vrrec_per	4
VR Recognition	102	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	vrrec_raw	3
Designs I	103	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	NA	NA
Designs II	104	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	NA	NA
Designs Recognition	105	2	Wechsler Memory Scale-IV	Visual Memory Index	Template	NA	NA
Visual Working Memory Index	106	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	Template	NA	NA
Symbol Span	107	2	Wechsler Memory Scale-IV	Visual Working Memory Index	Template	NA	NA
Spatial Addition	108	2	Wechsler Memory Scale-IV	Visual Working Memory Index	Template	NA	NA
Immediate Memory Index	109	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	Template	NA	NA
Delayed Memory Index	110	2	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	Template	NA	NA
Wechsler Memory Scale-III	111	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Immediate Memory Index	112	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Auditory Immediate	113	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Visual Immediate	114	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
General Memory Index	115	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Auditory Delayed	116	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Visual Delayed	117	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Auditory Recognition Delayed	118	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Working Memory Index	119	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Auditory Memory	120	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Logical Memory I	121	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Logical Memory II	122	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Logical Memory % Retention	123	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Logical Memory Recognition	124	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Thematic I	125	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Thematic II	126	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Verbal Paired Associates I	127	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Verbal Paired Associates II	128	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
VPA Recognition	129	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
VPA % Retention	130	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Word Lists I	131	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Word Lists II	132	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Word Lists Recognition	133	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Word Lists % Retention	134	2	Wechsler Memory Scale-III	Auditory Memory	Template	NA	NA
Visual Memory	135	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Visual Reproduction I	136	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Visual Reproduction II	137	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Visual Reproduction % Retention	138	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Visual Reproduction Recognition	139	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Visual Reproduction Copy	140	2	Wechsler Memory Scale-III	Visual Memory	Template	vrcopy_perc	4
Visual Reproduction Copy	140	2	Wechsler Memory Scale-III	Visual Memory	Template	vrcopy_raw	3
Faces I	141	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Faces II	142	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Faces Recognition	143	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Faces % Retention	144	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Family Pictures I	145	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Family Pictures II	146	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Family Pictures Recognition	147	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Family Pictures % Retention	148	2	Wechsler Memory Scale-III	Visual Memory	Template	NA	NA
Working Memory	149	2	Wechsler Memory Scale-III	Wechsler Memory Scale-III	Template	NA	NA
Spatial Span	150	2	Wechsler Memory Scale-III	Working Memory	Template	NA	NA
L-N Sequencing	151	2	Wechsler Memory Scale-III	Working Memory	Template	NA	NA
Digit Span	152	2	Wechsler Memory Scale-III	Working Memory	Template	NA	NA
Mental Control	153	2	Wechsler Memory Scale-III	Working Memory	Template	NA	NA
Rey-Auditory Verbal Learning Task	154	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	Template	NA	NA
Sum of Trials 1-5	155	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	Template	NA	NA
Immediate Recall	156	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	Template	NA	NA
Delayed Recall	157	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	Template	NA	NA
Recognition	158	2	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	Template	NA	NA
Selective Reminding Test	159	2	Selective Reminding Test	Selective Reminding Test	Template	NA	NA
Long Term Storage	160	2	Selective Reminding Test	Selective Reminding Test	Template	NA	NA
Consistent Long Term Retrieval	161	2	Selective Reminding Test	Selective Reminding Test	Template	NA	NA
Delayed Recall	162	2	Selective Reminding Test	Selective Reminding Test	Template	NA	NA
Recognition	163	2	Selective Reminding Test	Selective Reminding Test	Template	NA	NA
California Verbal Learning Task-II	164	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	NA	NA
Total Recall	165	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_tot_raw	3
Total Recall	165	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_tot_ss	4
Short Delay Free Recall	166	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_sdelayfree_raw	3
Short Delay Free Recall	166	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_sdelayfree_ss	4
Short Delay Cued Recall	167	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_sdelaycued_raw	3
Short Delay Cued Recall	167	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_sdelaycued_ss	4
Long Delay Free Recall	168	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_ldelayfree_raw	3
Long Delay Free Recall	168	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_ldelayfree_ss	4
Long Delay Cued Recall	169	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_ldelaycued_raw	3
Long Delay Cued Recall	169	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_ldelaycued_ss	4
Recognition Discriminability	170	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_recogdisc_raw	3
Recognition Discriminability	170	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_recogdisc_ss	4
Forced Choice Recognition	171	2	California Verbal Learning Task-II	California Verbal Learning Task-II	Template	cvlt_fcrecog_perc	3
Hopkins Verbal Learning Task-R	172	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	NA	NA
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_tot_int	6
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_tot_per	5
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_tot_raw	3
Total Recall	173	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_tot_ss	4
Delayed Recall	174	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_delay_raw	3
Delayed Recall	174	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_delay_ss	4
Percent Retention	175	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_perc_raw	3
Percent Retention	175	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_perc_ss	4
Discrimination Index	176	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_disc_raw	3
Discrimination Index	176	2	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	Template	hvlt_disc_ss	4
Brief Visuospatial Memory Test-R	177	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	Template	NA	NA
Total Recall	178	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	Template	bvmt_tot_raw	3
Total Recall	178	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	Template	bvmt_tot_ss	4
Delayed Recall	179	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	Template	bvmt_delay_raw	3
Delayed Recall	179	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	Template	bvmt_delay_ss	4
Discrimination Index	180	2	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	Template	NA	NA
7/24 Spatial Recall Test	181	2	7/24 Spatial Recall Test	7/24 Spatial Recall Test	Template	NA	NA
Immediate Recall	182	2	7/24 Spatial Recall Test	7/24 Spatial Recall Test	Template	NA	NA
Delayed Recall	183	2	7/24 Spatial Recall Test	7/24 Spatial Recall Test	Template	NA	NA
Rey-O Complex Figure Test	184	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	Template	NA	NA
Immediate Recall	185	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	Template	NA	NA
Delayed Recall	186	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	Template	NA	NA
Recognition	187	2	Rey-O Complex Figure Test	Rey-O Complex Figure Test	Template	NA	NA
Rush Object Recall Test	188	2	Rush Object Recall Test	Rush Object Recall Test	Template	NA	NA
Immediate Recall	189	2	Rush Object Recall Test	Rush Object Recall Test	Template	NA	NA
Recognition	190	2	Rush Object Recall Test	Rush Object Recall Test	Template	NA	NA
TOMM	191	2	TOMM	TOMM	Template	NA	NA
Trial 1	192	2	TOMM	TOMM	Template	NA	NA
Trial 2	193	2	TOMM	TOMM	Template	NA	NA
Trial 3	194	2	TOMM	TOMM	Template	NA	NA
Rey-15 Item	195	2	Rey-15 Item	Rey-15 Item	Template	NA	NA
Immediate Recall	196	2	Rey-15 Item	Rey-15 Item	Template	NA	NA
Recognition	197	2	Rey-15 Item	Rey-15 Item	Template	NA	NA
Word Memory Test	198	2	Word Memory Test	Word Memory Test	Template	NA	NA
Immediate Recognition	199	2	Word Memory Test	Word Memory Test	Template	NA	NA
Delayed Recognition	200	2	Word Memory Test	Word Memory Test	Template	NA	NA
Consistency	201	2	Word Memory Test	Word Memory Test	Template	NA	NA
Multiple Choice Recognition	202	2	Word Memory Test	Word Memory Test	Template	NA	NA
Paired Associates	203	2	Word Memory Test	Word Memory Test	Template	NA	NA
Short-Delay Free Recall	204	2	Word Memory Test	Word Memory Test	Template	NA	NA
Long-Delay Free Recall	205	2	Word Memory Test	Word Memory Test	Template	NA	NA
LANGUAGE	208	2	LANGUAGE	LANGUAGE	Template	NA	NA
Boston Diagnostic Aphasia Exam-3	210	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	NA	NA
Boston Naming Test	211	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bnt_raw	3
Boston Naming Test	211	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bnt_ss	4
Complex Ideational Material	212	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bdae_cim_raw	3
Complex Ideational Material	212	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bdae_cim_ss	4
Commands	213	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	NA	NA
Repeating Phrases	214	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bdae_rn_raw	4
Repeating Phrases	214	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bdae_rs_raw	3
Picture Description: Cookie Theft	215	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bdae_ct_raw	3
Picture Description: Cookie Theft	215	2	Boston Diagnostic Aphasia Exam-3	Boston Diagnostic Aphasia Exam-3	Template	bdae_sp_raw	4
Multi-Lingual Aphasia Exam-3	216	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	Template	NA	NA
Tokens	217	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	Template	NA	NA
Sentence Repetition	218	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	Template	NA	NA
Visual Naming	219	2	Multi-Lingual Aphasia Exam-3	Multi-Lingual Aphasia Exam-3	Template	NA	NA
Right-Left Orientation	220	2	Right-Left Orientation	Right-Left Orientation	Template	NA	NA
Peabody Picture Vocabulary Test-4	221	2	Peabody Picture Vocabulary Test-4	Peabody Picture Vocabulary Test-4	Template	NA	NA
ACADEMIC ACHIEVEMENT	223	2	ACADEMIC ACHIEVEMENT	ACADEMIC ACHIEVEMENT	Template	NA	NA
Wide Range Achievement Tests-4	225	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	Template	NA	NA
Word Reading	226	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	Template	wratread_raw	3
Word Reading	226	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	Template	wratread_ss	4
Spelling	227	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	Template	NA	NA
Math Computation	228	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	Template	NA	NA
Sentence Comprehension	229	2	Wide Range Achievement Tests-4	Wide Range Achievement Tests-4	Template	NA	NA
WJ-III Tests of Achievement	230	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Academic Skills	231	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Academic Applications	232	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Academic Fluency	233	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Broad Reading	234	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Letter-Word Identification	235	2	WJ-III Tests of Achievement	Broad Reading	Template	NA	NA
Reading Fluency	236	2	WJ-III Tests of Achievement	Broad Reading	Template	NA	NA
Passage Comprehension	237	2	WJ-III Tests of Achievement	Broad Reading	Template	NA	NA
Broad Written Language	238	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Spelling	239	2	WJ-III Tests of Achievement	Broad Written Language	Template	NA	NA
Writing Fluency	240	2	WJ-III Tests of Achievement	Broad Written Language	Template	NA	NA
Writing Samples	241	2	WJ-III Tests of Achievement	Broad Written Language	Template	NA	NA
Broad Math	242	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Calculation	243	2	WJ-III Tests of Achievement	Broad Math	Template	NA	NA
Math Fluency	244	2	WJ-III Tests of Achievement	Broad Math	Template	NA	NA
Applied Problems	245	2	WJ-III Tests of Achievement	Broad Math	Template	NA	NA
Basic Reading Skills	246	2	WJ-III Tests of Achievement	WJ-III Tests of Achievement	Template	NA	NA
Word Attack	247	2	WJ-III Tests of Achievement	Basic Reading Skills	Template	wjiii_wa_raw	3
Word Attack	247	2	WJ-III Tests of Achievement	Basic Reading Skills	Template	wjiii_wa_ss	4
Nelson-Denny Reading	248	2	Nelson-Denny Reading	Nelson-Denny Reading	Template	NA	NA
Comprehension	249	2	Nelson-Denny Reading	Nelson-Denny Reading	Template	NA	NA
Reading Rate	250	2	Nelson-Denny Reading	Nelson-Denny Reading	Template	NA	NA
Gray's Oral Reading Tests-4	251	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	Template	NA	NA
Rate Score	252	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	Template	NA	NA
Accuracy Score	253	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	Template	NA	NA
Fluency Score	254	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	Template	NA	NA
Comprehension Score	255	2	Gray's Oral Reading Tests-4	Gray's Oral Reading Tests-4	Template	NA	NA
VISUAL-SPATIAL	257	2	VISUAL-SPATIAL	VISUAL-SPATIAL	Template	NA	NA
Judgment of Line Orientation	259	2	Judgment of Line Orientation	Judgment of Line Orientation	Template	jlo_raw	3
Judgment of Line Orientation	259	2	Judgment of Line Orientation	Judgment of Line Orientation	Template	jlo_ss	4
Benton's Facial Recognition	260	2	Benton's Facial Recognition	Benton's Facial Recognition	Template	NA	NA
